# 算力租赁供应商应答对照表 —— 配合 docs/gpu_rental_rfp.md 使用
#
# 用法：每家供应商填一列（复制"供应商A"列即可增列），填完后并排比较。
#       "要求"列是我方的底线值，不得修改；供应商只填自己那一列。
#       填不了的写"未测"或"不满足"，不要留空——留空我方一律按不满足处理。
#       带 ★ 的是硬性否决项，任意一项不满足则整体方案不予考虑。
#
编号,章节,应答项,单位,我方要求,供应商A,供应商B,供应商C
W17,2.3.3,2 节点 AllReduce Bus BW,GB/s,B≥720 / H≥300,,,
W18,2.3.3,4 节点 AllReduce Bus BW,GB/s,B≥700 / H≥290,,,
W19,2.3.3,8 节点 AllReduce Bus BW,GB/s,B≥680 / H≥280,,,
W20,2.3.3,16 节点 AllReduce Bus BW,GB/s,B≥660 / H≥270,,,
W21,2.3.3,2→16 节点带宽衰减,%,≤10,,,
P01,2.4,单机柜供电上限,kW,须注明,,,
P02,2.4,单机柜可放 GPU 节点数,台,须注明,,,
P03,2.4,冷却方式,—,风冷/冷板液冷/浸没,,,
P04,2.4,首批 16 节点占用机柜数,个,须注明,,,
P05,2.4,首批总配电容量,kW,须注明,,,
P06,2.4,扩容到 32 节点是否已预留机柜与配电,—,是,,,
P07,2.4,供电冗余等级,—,2N 或 N+1,,,
P08,2.4,机房所在城市与园区,—,须注明,,,
P09,2.4,机房 PUE,—,须注明,,,
S01,2.5,操作系统,—,Ubuntu 22.04/24.04,,,
S02,2.5,GPU 驱动版本,—,B≥580.105 / H≥550.54 全集群一致,,,
S03,2.5,CUDA 版本,—,B300≥13.0 / H≥12.4,,,
S04,2.5,NCCL 版本,—,≥2.30,,,
S05,2.5,是否给 root,—,是,,,
S06,2.5,是否允许自行升级驱动/内核,—,是,,,
S07,2.5,Megatron-LM 是否实测可跑,—,是,,,
S08,2.5,FSDP2 / TorchTitan 是否实测可跑,—,是,,,
S09,2.5,FP8 训练是否支持(B 系列),—,是,,,
S10,2.5,是否提供 NCCL 拓扑调优参数,—,是,,,
R01,2.6,月度 Goodput,%,≥95,,,
R02,2.6,月度集群可用率,%,≥99.5,,,
R03,2.6,128 卡最长无故障连续运行,h,≥72,,,
R04,2.6,故障自动恢复 RTO,min,≤15,,,
R05,2.6,热备节点比例,%,≥3 且首批≥1 台,,,
R06,2.6,坏卡更换时限(现场备件),h,≤4,,,
R07,2.6,坏卡更换时限(需返修),h,≤24,,,
R08,2.6,月度掉卡率,%,≤0.5,,,
R09,2.6,XID/ECC 自动隔离,—,支持,,,
R10,2.6,NCCL hang 自动定位掉队 rank,—,支持,,,
R11,2.6,SDC(静默数据损坏)检测机制,—,须说明,,,
R12,2.6,是否自动从 checkpoint 拉起,—,支持,,,
R13,2.6,近 3 个月同规模集群故障统计,—,须提供,,,
M01,2.7,监控是否含 clock throttle reason,—,是,,,
M02,2.7,监控是否含 NVLink 错误计数,—,是,,,
M03,2.7,监控是否含 IB/RoCE 端口错误与 PFC,—,是,,,
M04,2.7,指标采集粒度,s,≤15,,,
M05,2.7,历史数据留存,天,≥90,,,
M06,2.7,告警推送方式,—,Webhook 等,,,
M07,2.7,是否支持拓扑感知调度,—,是,,,
M08,2.7,是否支持 gang scheduling,—,是,,,
M09,2.7,项目级配额与用量统计,—,支持,,,
D01,2.8,开发机可申请规格,卡,1~8,,,
D02,2.8,开发机与训练集群软件栈是否同构,—,是,,,
D03,2.8,开发机可打包为 Docker 镜像,—,支持,,,
D04,2.8,可从 Docker 镜像创建开发机,—,支持,,,
D05,2.8,私有镜像仓库容量,TB,≥2,,,
D06,2.8,容器内 RDMA/GDR 是否可用,—,是,,,
D07,2.8,开发机是否挂载同一份存储,—,是,,,
T01,3.1,热存储可交付容量,TB,≥300 可扩至 1PB,,,
T02,3.1,冷存储可交付容量,PB,≥2,,,
T03,3.1,热存储产品名称,—,须注明,,,
T04,3.1,是否支持生命周期自动分层,—,是,,,
T05,3.1,扩容是否中断业务,—,否,,,
T06,3.2,热存储聚合顺序读带宽(128卡),GB/s,≥200,,,
T07,3.2,热存储聚合写带宽(128卡),GB/s,≥100,,,
T08,3.2,单客户端读带宽,GB/s,≥20,,,
T09,3.2,小文件随机读 IOPS(4KB),万,≥200,,,
T10,3.2,元数据 ops/s,万,≥50,,,
T11,3.2,单目录文件数上限,万,≥100,,,
T12,3.2,2TB checkpoint 写入耗时,min,≤5,,,
T13,3.2,访问协议,—,POSIX 必须,,,
T14,3.2,并发挂载客户端数,个,≥300,,,
T15,3.2,数据可靠性策略,—,多副本或 EC 须注明,,,
X01,3.3,火山 TOS 迁移实测速率,MB/s,须实测,,,
X02,3.3,阿里 OSS 迁移实测速率,MB/s,须实测,,,
X03,3.3,迁移方式(公网/专线/云间),—,须注明,,,
X04,3.3,是否逐对象 checksum 校验,—,是,,,
X05,3.3,是否支持增量同步与断点续传,—,是,,,
X06,3.3,50TB 全量迁移预估耗时,h,须估算,,,
X07,3.3,源端出流量费由谁承担,—,须说明,,,
X08,3.4,国内数据源下载速率,MB/s,须实测,,,
X09,3.4,境外数据源下载速率,MB/s,须实测,,,
X10,3.4,加速方案及合规依据,—,须说明,,,
X11,3.4,出口带宽(独享/共享 峰值/保底),—,须注明,,,
X12,3.4,是否有 HuggingFace 内网镜像,—,须说明,,,
X13,3.4,下载流量单价,元/GB,须注明,,,
H01,3.5,是否支持手动触发预热,—,是,,,
H02,3.5,是否支持定时自动预热,—,是,,,
H03,3.5,预热进度是否可查,—,是,,,
H04,3.5,缓存层容量与淘汰策略,—,须说明,,,
H05,3.5,是否可 pin 住不淘汰,—,须说明,,,
H06,3.5,预热速率,GB/s,须实测,,,
H07,3.5,预热后读延迟改善倍数,倍,须实测,,,
H08,3.6,可接入的第三方对象存储,—,TOS/OSS/COS/S3,,,
H09,3.6,第三方存储接入方式,—,须说明,,,
H10,3.6,跨云流量费由谁承担,—,须说明,,,
A01,4,CLI 工具名称与文档地址,—,须提供,,,
A02,4,Python SDK,—,须提供,,,
A03,4,OpenAPI/Swagger 文档,—,须提供,,,
A04,4,实例创建/释放/重启 API,—,支持,,,
A05,4,任务提交/查询/终止/日志 API,—,支持,,,
A06,4,存储挂载与数据预热 API,—,支持,,,
A07,4,镜像推送/拉取 API,—,支持,,,
A08,4,监控指标拉取(Prometheus 兼容),—,支持,,,
A09,4,账单与用量查询 API,—,支持,,,
A10,4,是否支持 Terraform,—,须说明,,,
A11,4,是否提供联调沙箱,—,须说明,,,
V01,5.2,是否接受我方 U 盘离线自动化验收,—,是,,,
V02,5.2,是否接受"未通过验收不起租不计费",—,是,,,
V03,5.2,是否接受"未通过即换机",—,是,,,
V04,5.2,换机时限承诺,天,须承诺,,,
V05,5.2,验收窗口期,天,须说明,,,
V06,5.2,是否提供带外管理访问,—,是,,,
V07,5.2,是否提供逐台 SN/机柜位对照表,—,是,,,
V08,8,是否可提供样机预验证,—,须说明,,,
V09,8,是否提供试用账号,—,须提供,,,
L01,6,SLA 不达标赔偿方式与公式,—,须说明,,,
L02,6,P1 故障响应时限,min,≤15,,,
L03,6,支持时间,—,7×24,,,
L04,6,是否配专属技术对接群,—,是,,,
L05,6,能否协助定位 NCCL hang/慢节点,—,须说明,,,
L06,6,能否协助定位存储瓶颈,—,须说明,,,
L07,6,是否提供月度健康报告,—,须说明,,,
B01,7.1,GPU 节点租金(B300),元/节点/月,须报价,,,
B02,7.1,GPU 节点租金(H200),元/节点/月,须报价,,,
B03,7.1,折合单卡(B300),元/卡/月,须报价,,,
B04,7.1,折合单卡(H200),元/卡/月,须报价,,,
B05,7.1,热存储单价,元/TB/月,须报价,,,
B06,7.1,冷存储单价,元/TB/月,须报价,,,
B07,7.1,数据迁移一次性费用,元,须报价,,,
B08,7.1,出网流量单价,元/GB,须报价,,,
B09,7.1,一次性接入/部署费,元,须报价,,,
B10,7.1,首批 16 节点月总价,元/月,须报价,,,
B11,7.1,扩容后 32 节点月总价,元/月,须报价,,,
B12,7.1,最短租期,月,须说明,,,
B13,7.1,付款方式与账期,—,须说明,,,
B14,7.1,租期内涨价规则,—,须说明,,,
B15,7.1,提前退租违约条款,—,须说明,,,
B16,7.1,发票类型与税率,—,须说明,,,
C01,7.2,1 周内可交付最大规模(按型号),卡,须说明,,,
C02,7.2,1 周内供货量最大的两种型号,—,须说明,,,
C03,7.2,3~6 个月最易大规模的型号,—,须说明,,,
C04,7.2,在手库存 vs 需新采购比例,—,须说明,,,
C05,7.2,首批 16 节点交付节奏,—,须说明,,,
C06,7.2,千卡级已上线案例规模,卡,须说明,,,
K01,7.3,交付形态,—,裸金属优先,,,
K02,7.3,★ 是否整机独占,—,是,,,
K03,7.3,★ 计算网是否独占 fabric,—,是,,,
K04,7.3,K8s 方案是否支持 RDMA 直通,—,如提供 K8s 则必须,,,
K05,7.3,K8s 方案是否支持拓扑感知调度,—,如提供 K8s 则必须,,,
K06,7.3,K8s 方案是否支持 gang scheduling,—,如提供 K8s 则必须,,,
K07,7.3,是否提供裸金属复测通道,—,是,,,
Y01,7.4,资源所在区域/城市/园区,—,须列全,,,
Y02,7.4,各区域补贴政策名称,—,须列全,,,
Y03,7.4,补贴形式(直减/返还/抵扣券),—,须说明,,,
Y04,7.4,补贴比例或额度上限,—,须说明,,,
Y05,7.4,申领主体资格要求,—,须说明,,,
Y06,7.4,申领流程与周期,—,须说明,,,
Y07,7.4,报价是否已含补贴,—,须说明,,,
Y08,7.4,政策有效期,—,须说明,,,
Y09,7.4,不在名单内能否走第三方,—,须说明,,,
Y10,7.4,走第三方的操作方式与合规依据,—,须说明,,,
Y11,7.4,走第三方的额外成本,—,须说明,,,
Y12,7.4,走第三方后合同主体与责任界定,—,须说明,,,
Y13,7.4,是否协助申请补贴资格,—,须说明,,,
E01,7.5,128→256 卡扩容 lead time,天,须承诺,,,
E02,7.5,扩容是否需停机及停机时长,—,须说明,,,
E03,7.5,★ 扩容节点是否同 fabric 域无收敛,—,是,,,
E04,7.5,同域最大可扩容卡数,卡,须说明,,,
E05,7.5,扩容单价是否锁定不高于首批,—,是,,,
E06,7.5,是否可预约预留资源及是否收费,—,须说明,,,
E07,7.5,是否支持按天/周临时弹性扩容,—,须说明,,,
E08,7.5,扩容后是否重新验收,—,是,,,
Z01,7.6,是否签署 NDA,—,是,,,
Z02,7.6,数据所有权归属,—,归我方,,,
Z03,7.6,是否承诺不使用我方数据,—,是,,,
Z04,7.6,传输加密与静态加密,—,须说明,,,
Z05,7.6,运维访问审计日志能否提供,—,须说明,,,
Z06,7.6,退租是否提供数据删除证明,—,是,,,
Z07,7.6,退租数据迁出流量费与免费额度,—,须说明,,,
Z08,7.6,退租后数据保留窗口期,天,须说明,,,
